,bhk,type,area,price,region
0,3,Apartment,685,25000000.0,Andheri West
8,1,Apartment,396,2984000.0,Badlapur East
17,3,Apartment,1259,28000000.0,Ghansoli
26,2,Apartment,1080,5724000.0,Bhiwandi
29,2,Apartment,594,3450000.0,Ambernath West
46,1,Apartment,386,2796000.0,Taloja
48,3,Apartment,1625,14500000.0,Ulwe
78,2,Apartment,528,3150000.0,Ambernath West
94,2,Apartment,614,4444000.0,Taloja
131,2,Apartment,486,3600000.0,Badlapur East
133,1,Apartment,361,2800000.0,Badlapur East
135,1,Apartment,377,2820000.0,Badlapur East
137,1,Apartment,382,2861000.0,Badlapur East
142,1,Apartment,345,1991000.0,Badlapur West
143,1,Apartment,352,2050000.0,Badlapur West
144,1,Apartment,294,1600000.0,Badlapur West
145,1,Apartment,366,2128000.0,Badlapur West
146,1,Apartment,333,1932999.9999999998,Badlapur West
147,1,Apartment,358,2089000.0,Badlapur West
148,1,Apartment,372,2167000.0,Badlapur West
149,1,Apartment,380,2206000.0,Badlapur West
207,2,Apartment,725,17000000.0,Ghansoli
209,4,Apartment,1492,34000000.0,Ghansoli
211,2,Apartment,715,16800000.0,Ghansoli
213,1,Apartment,505,10800000.0,Ghansoli
258,1,Apartment,740,3922000.0,Bhiwandi
260,2,Apartment,1045,5538000.0,Bhiwandi
262,1,Apartment,690,3657000.0,Bhiwandi
264,2,Apartment,1085,5750000.0,Bhiwandi
266,2,Apartment,1060,5618000.0,Bhiwandi
268,1,Apartment,795,4213000.0,Bhiwandi
278,1,Apartment,501,2950000.0,Ambernath West
279,1,Apartment,399,2450000.0,Ambernath West
280,1,Apartment,440,2650000.0,Ambernath West
281,2,Apartment,635,3650000.0,Ambernath West
282,2,Apartment,569,3300000.0,Ambernath West
283,1,Apartment,464,2750000.0,Ambernath West
284,1,Apartment,422,2600000.0,Ambernath West
301,1,Apartment,651,2000000.0,Andheri West
302,2,Apartment,1000,3200000.0,Ambernath West
311,1,Apartment,650,2000000.0,Andheri West
312,4,Apartment,2100,32500000.0,Santacruz East
314,3,Apartment,1530,28500000.0,Borivali East
318,1,Apartment,560,2500000.0,Nala Sopara
321,1,Apartment,530,2279000.0,Palghar
323,1,Apartment,550,2500000.0,Taloja
326,4,Apartment,1500,56000000.0,Kandivali East
328,1,Apartment,520,2500000.0,Nala Sopara
330,1,Apartment,453,8500000.0,Thane West
331,1,Apartment,650,10000000.0,Parel
335,2,Apartment,920,11000000.0,Kurla
337,1,Apartment,570,5500000.0,Thane West
339,1,Apartment,750,4500000.0,Kalamboli
340,2,Apartment,500,1000000.0,Taloja
342,1,Apartment,677,3000000.0,Panvel
381,1,Apartment,555,1550000.0,Boisar
386,1,Apartment,729,5100000.0,Dahisar
387,2,Apartment,1020,11000000.0,Mira Road East
388,2,Apartment,1035,11500000.0,Mira Road East
389,2,Apartment,1070,8900000.0,Mira Road East
390,2,Apartment,1070,9300000.0,Mira Road East
391,2,Apartment,1050,8300000.0,Mira Road East
392,2,Apartment,1050,8000000.0,Mira Road East
393,2,Apartment,1021,11100000.000000002,Mira Road East
394,2,Apartment,1045,7900000.0,Dahisar
395,2,Apartment,1039,8000000.0,Dahisar
396,2,Apartment,1080,11399999.999999998,Mira Road East
397,2,Apartment,750,7300000.0,Mira Road East
398,1,Apartment,650,6200000.0,Mira Road East
399,2,Apartment,1050,7900000.0,Mira Road East
401,2,Apartment,1020,8500000.0,Mira Road East
402,2,Apartment,785,9300000.0,Mira Road East
403,2,Apartment,765,9100000.0,Mira Road East
404,1,Apartment,850,11500000.0,Mira Road East
405,2,Apartment,850,11100000.000000002,Mira Road East
407,1,Apartment,620,6000000.0,Mira Road East
408,2,Apartment,856,11800000.0,Mira Road East
409,2,Apartment,750,7000000.0,Mira Road East
410,2,Apartment,768,9000000.0,Mira Road East
411,2,Apartment,856,11900000.0,Mira Road East
412,1,Apartment,756,7300000.0,Mira Road East
413,2,Apartment,850,10500000.0,Mira Road East
414,1,Apartment,675,7400000.0,Mira Road East
419,1,Apartment,600,3360000.0,Karanjade
420,1,Apartment,520,2150000.0,Thane West
423,2,Apartment,870,9500000.0,Mira Road East
424,3,Apartment,1665,19900000.0,Mira Road East
425,2,Apartment,1050,9000000.0,Mira Road East
426,1,Apartment,756,7700000.0,Mira Road East
427,1,Apartment,785,7600000.0,Mira Road East
428,2,Apartment,860,3870000.0000000005,Palghar
429,1,Apartment,600,3000000.0,Kharghar
430,1,Studio Apartment,380,1400000.0,Palghar
433,2,Apartment,810,11800000.0,Mira Road East
434,3,Apartment,1200,18500000.0,Mira Road East
435,2,Apartment,856,7900000.0,Mira Road East
436,2,Apartment,856,8000000.0,Mira Road East
437,1,Apartment,629,5500000.0,Dahisar
438,1,Apartment,620,5600000.0,Dahisar
439,2,Apartment,850,7800000.0,Dahisar
440,2,Apartment,850,7900000.0,Dahisar
441,2,Apartment,1350,21500000.0,Mira Road East
442,2,Apartment,1070,9500000.0,Mira Road East
443,2,Apartment,789,9800000.0,Mira Road East
444,1,Apartment,659,5900000.0,Mira Road East
447,1,Apartment,656,6100000.0,Mira Road East
448,2,Apartment,850,7800000.0,Mira Road East
449,2,Apartment,825,11000000.0,Mira Road East
456,2,Apartment,1233,27500000.0,Malad West
457,2,Studio Apartment,415,9500000.0,Girgaon
458,2,Apartment,430,12500000.0,Andheri West
459,2,Apartment,1070,8100000.0,Ulwe
461,1,Apartment,535,2721000.0,Vasai
462,3,Apartment,1180,47500000.0,Dadar West
463,2,Apartment,1090,18000000.0,Kandivali East
464,2,Apartment,850,11500000.0,Mira Road East
467,3,Apartment,1525,32500000.0,Borivali West
468,2,Apartment,965,8500000.0,Bandra West
469,3,Apartment,1300,23000000.0,Powai
471,1,Apartment,655,5000000.0,Kalyan West
472,2,Apartment,950,34000000.0,Mahim
473,1,Apartment,560,2100000.0,Neral
475,2,Apartment,941,3700000.0,Kalyan East
517,2,Apartment,1227,9100000.0,Ulwe
518,3,Apartment,1152,8800000.0,Ulwe
519,4,Apartment,1135,6200000.0,Dombivali
520,1,Studio Apartment,400,2300000.0,Ulwe
521,1,Apartment,580,8000000.0,Ghatkopar West
522,1,Apartment,420,10000000.0,Andheri West
525,1,Apartment,500,7700000.0,Mira Road East
527,4,Independent House,1490,18000000.0,Nala Sopara
530,1,Apartment,685,4500000.0,Kalyan West
534,3,Apartment,1980,17500000.0,Mulund East
535,3,Apartment,1750,57500000.0,Powai
536,1,Apartment,650,2762000.0,Taloja
537,2,Apartment,1000,6850000.0,Kharghar
539,1,Studio Apartment,400,1800000.0,Badlapur East
541,2,Apartment,1265,15500000.0,Thane West
543,1,Apartment,625,2190000.0,Kamothe
544,3,Apartment,1350,21000000.0,Thane West
545,1,Apartment,675,2800000.0,other
546,1,Apartment,700,2851000.0,other
548,1,Apartment,770,4200000.0,Kharghar
549,3,Apartment,1062,7500000.0,other
550,3,Apartment,1360,27000000.0,Ghatkopar West
552,2,Apartment,1100,19900000.0,Chembur
555,2,Apartment,1090,11600000.0,Mira Road East
556,2,Apartment,989,3700000.0,Ambernath West
557,1,Studio Apartment,275,4500000.0,Andheri East
560,3,Apartment,1400,14000000.0,other
561,2,Apartment,1152,8400000.0,Ulwe
562,2,Apartment,800,25000000.0,Ville Parle East
563,2,Apartment,672,10300000.0,Thane West
564,1,Apartment,330,4998000.0,Thane West
565,1,Apartment,343,5195000.0,Thane West
566,2,Apartment,659,10100000.0,Thane West
567,2,Apartment,489,7498000.0,Thane West
568,2,Apartment,505,7744000.0,Thane West
570,2,Apartment,1000,27500000.0,Ville Parle East
571,3,Apartment,875,5000000.0,Vasai
573,1,Apartment,650,3800000.0,Panvel
574,2,Apartment,1145,7500000.0,Panvel
575,1,Apartment,575,6000000.0,Kalwa
576,3,Apartment,1300,31900000.0,Borivali East
577,1,Apartment,670,2650000.0,Badlapur East
578,2,Apartment,1150,5900000.0,Kharghar
579,2,Apartment,1100,7998999.999999999,Khar
580,1,Apartment,700,4899000.0,Naigaon East
582,5,Apartment,2920,120000000.0,Santacruz West
583,2,Apartment,980,4597000.0,Dombivali
584,2,Apartment,1150,17500000.0,Nerul
585,2,Apartment,978,19000000.0,Mulund West
586,1,Apartment,565,1950000.0,Nala Sopara
587,2,Apartment,850,4000000.0,Nala Sopara
596,1,Apartment,750,8400000.0,Thane West
597,1,Apartment,650,13400000.0,Kanjurmarg
598,2,Apartment,964,5450000.0,Dombivali
601,1,Apartment,650,3900000.0,Ulwe
602,2,Apartment,425,2154000.0,Dahisar
603,2,Apartment,935,4450000.0,Ambernath West
604,1,Apartment,450,8900000.0,other
607,3,Apartment,1655,25500000.0,Powai
608,1,Apartment,512,6500000.0,Ulwe
609,3,Apartment,1275,6998999.999999999,Nala Sopara
610,2,Apartment,854,15500000.0,Santacruz East
611,2,Apartment,830,5661000.0,Kalyan West
612,1,Apartment,540,10000000.0,Ghatkopar West
613,2,Apartment,1080,19000000.0,Malad West
615,2,Apartment,790,37500000.0,Bandra West
616,1,Apartment,660,7100000.0,Airoli
620,2,Apartment,1230,13500000.0,Mira Road East
622,1,Apartment,600,9500000.0,Goregaon West
623,2,Apartment,850,5950000.0,Vasai
624,1,Apartment,600,23500000.0,Santacruz West
625,1,Apartment,395,5599000.0,Bhayandar East
626,1,Apartment,496,1500000.0,Boisar
629,3,Apartment,1090,11000000.0,Mira Road East
630,2,Apartment,658,13000000.0,Andheri East
631,1,Apartment,475,1750000.0,Palghar
633,3,Apartment,1800,36000000.0,Andheri West
634,2,Apartment,1250,8900000.0,Seawoods
635,1,Apartment,800,5500000.0,Andheri West
636,2,Apartment,528,2419000.0,Karjat
638,1,Apartment,276,1400000.0,Karjat
644,2,Apartment,870,14500000.0,Kandivali East
645,1,Apartment,464,12500000.0,Kandivali West
647,1,Apartment,600,2100000.0,Dombivali
648,1,Apartment,500,13000000.0,Sewri
649,1,Apartment,638,2550000.0,Ambernath East
650,2,Apartment,700,2500000.0,Dombivali
651,1,Apartment,780,8500000.0,Kurla
652,1,Apartment,650,7590000.000000001,Thane West
653,1,Apartment,610,5200000.0,Ulwe
654,1,Apartment,550,3400000.0,Nala Sopara
655,2,Apartment,909,6000000.0,Nilje Gaon
657,1,Apartment,640,2300000.0,Badlapur West
666,2,Apartment,1075,5100000.0,Dombivali
669,1,Apartment,650,20000000.0,Andheri West
670,3,Apartment,1925,90000000.0,Prabhadevi
671,1,Apartment,630,2500000.0,Khopoli
673,1,Apartment,729,4100000.0,Panvel
675,2,Apartment,1037,13000000.0,Thane West
679,3,Apartment,1300,39900000.0,Matunga
680,2,Apartment,670,10500000.0,Kandivali East
691,2,Apartment,670,1800000.0,Boisar
692,1,Apartment,729,4200000.0,Panvel
701,1,Apartment,675,4800000.0,Karanjade
711,2,Apartment,900,16000000.0,Malad West
712,1,Apartment,602,3400000.0,Panvel
713,1,Apartment,1111,11100000.000000002,Kandivali East
714,4,Apartment,2000,120000000.0,Santacruz West
