,bhk,type,locality,area,price,region,status,age
0,3,Apartment,Lak And Hanware The Residency Tower,685,250.0,Central Mumbai,Ready to move,New
8,1,Apartment,Shubh Shreeji Heights,396,29.84,Outskirts,Ready to move,New
17,3,Apartment,Aurum Q Island R4 AND R5,1259,280.0,Navi Mumbai & Beyond,Ready to move,New
46,1,Apartment,Qualitas QN Greens Phase 1,386,27.96,Navi Mumbai & Beyond,Ready to move,New
48,3,Apartment,Today Imperia,1625,145.0,Navi Mumbai & Beyond,Ready to move,New
94,2,Apartment,Qualitas QN Greens Phase 1,614,44.44,Navi Mumbai & Beyond,Ready to move,New
131,2,Apartment,Shubh Shreeji Heights,486,36.0,Outskirts,Ready to move,New
133,1,Apartment,Shubh Shreeji Heights,361,28.0,Outskirts,Ready to move,New
135,1,Apartment,Shubh Shreeji Heights,377,28.2,Outskirts,Ready to move,New
137,1,Apartment,Shubh Shreeji Heights,382,28.61,Outskirts,Ready to move,New
142,1,Apartment,A Plus Golden Veda,345,19.91,Outskirts,Ready to move,New
143,1,Apartment,A Plus Golden Veda,352,20.5,Outskirts,Ready to move,New
144,1,Apartment,A Plus Golden Veda,294,16.0,Outskirts,Ready to move,New
145,1,Apartment,A Plus Golden Veda,366,21.28,Outskirts,Ready to move,New
146,1,Apartment,A Plus Golden Veda,333,19.33,Outskirts,Ready to move,New
147,1,Apartment,A Plus Golden Veda,358,20.89,Outskirts,Ready to move,New
148,1,Apartment,A Plus Golden Veda,372,21.67,Outskirts,Ready to move,New
149,1,Apartment,A Plus Golden Veda,380,22.06,Outskirts,Ready to move,New
207,2,Apartment,Aurum Q Island R4 AND R5,725,170.0,Navi Mumbai & Beyond,Ready to move,New
209,4,Apartment,Aurum Q Island R4 AND R5,1492,340.0,Navi Mumbai & Beyond,Ready to move,New
211,2,Apartment,Aurum Q Island R4 AND R5,715,168.0,Navi Mumbai & Beyond,Ready to move,New
213,1,Apartment,Aurum Q Island R4 AND R5,505,108.0,Navi Mumbai & Beyond,Ready to move,New
301,1,Apartment,Reputed Builder Wild Wood Park 2,651,20.0,Central Mumbai,Ready to move,Resale
311,1,Apartment,Reputed Builder Wild Wood Park 2,650,20.0,Central Mumbai,Ready to move,Resale
312,4,Apartment,Reputed Builder Emerald Apartments,2100,325.0,Central Mumbai,Ready to move,Resale
314,3,Apartment,Bhoomi New vandana CHSL,1530,285.0,Western Suburbs,Ready to move,Resale
323,1,Apartment,Qualitas QN Heights,550,25.0,Navi Mumbai & Beyond,Ready to move,Resale
326,4,Apartment,SD Epsilon,1500,560.0,Western Suburbs,Ready to move,Resale
330,1,Apartment,Lodha Codename Crown Jewel,453,85.0,Outskirts,Ready to move,Resale
335,2,Apartment,HDIL Galaxy Apartments,920,110.00000000000001,Eastern Suburbs,Ready to move,Resale
337,1,Apartment,Shreeji Bhakti Park,570,55.0,Outskirts,Ready to move,Resale
340,2,Apartment,HG Sai Tulip,500,10.0,Navi Mumbai & Beyond,Ready to move,Resale
342,1,Apartment,Proviso SaiProviso County,677,30.0,Navi Mumbai & Beyond,Ready to move,Resale
381,1,Apartment,Vrindavan Nagari,555,15.5,Navi Mumbai & Beyond,Ready to move,Resale
386,1,Apartment,DB Ozone,729,51.0,Outskirts,Ready to move,Resale
387,2,Apartment,Lodha Aqua,1020,110.00000000000001,Outskirts,Ready to move,Resale
388,2,Apartment,Lodha Aqua,1035,114.99999999999999,Outskirts,Ready to move,Resale
389,2,Apartment,Man Opus,1070,89.0,Outskirts,Ready to move,Resale
390,2,Apartment,Man Opus,1070,93.0,Outskirts,Ready to move,Resale
391,2,Apartment,Man Opus,1050,83.0,Outskirts,Ready to move,Resale
392,2,Apartment,Man Opus,1050,80.0,Outskirts,Ready to move,Resale
393,2,Apartment,Lodha Aqua,1021,111.00000000000001,Outskirts,Ready to move,Resale
394,2,Apartment,DB Ozone,1045,79.0,Outskirts,Ready to move,Resale
395,2,Apartment,DB Ozone,1039,80.0,Outskirts,Ready to move,Resale
396,2,Apartment,Lodha Aqua,1080,113.99999999999999,Outskirts,Ready to move,Resale
397,2,Apartment,Man Opus,750,73.0,Outskirts,Ready to move,Resale
398,1,Apartment,Man Opus,650,62.0,Outskirts,Ready to move,Resale
399,2,Apartment,Man Opus,1050,79.0,Outskirts,Ready to move,Resale
400,2,Apartment,Man Opus,1050,80.0,Outskirts,Ready to move,New
401,2,Apartment,Man Opus,1020,85.0,Outskirts,Ready to move,Resale
402,2,Apartment,Lodha Mira Road Project 1,785,93.0,Outskirts,Ready to move,Resale
403,2,Apartment,Lodha Mira Road Project 1,765,91.0,Outskirts,Ready to move,Resale
404,1,Apartment,Lodha Mira Road Project 1,850,114.99999999999999,Outskirts,Ready to move,Resale
405,2,Apartment,Lodha Mira Road Project 1,850,111.00000000000001,Outskirts,Ready to move,Resale
407,1,Apartment,Man Opus,620,60.0,Outskirts,Ready to move,Resale
408,2,Apartment,Lodha Mira Road Project 1,856,118.0,Outskirts,Ready to move,Resale
409,2,Apartment,Man Opus,750,70.0,Outskirts,Ready to move,Resale
410,2,Apartment,Lodha Mira Road Project 1,768,90.0,Outskirts,Ready to move,Resale
411,2,Apartment,Lodha Mira Road Project 1,856,119.0,Outskirts,Ready to move,Resale
412,1,Apartment,Lodha Mira Road Project 1,756,73.0,Outskirts,Ready to move,Resale
413,2,Apartment,Lodha Mira Road Project 1,850,105.0,Outskirts,Ready to move,Resale
414,1,Apartment,Lodha Mira Road Project 1,675,74.0,Outskirts,Ready to move,Resale
420,1,Apartment,Reputed Builder Vrindavan Society,520,21.5,Outskirts,Ready to move,Resale
423,2,Apartment,Man Opus,870,95.0,Outskirts,Ready to move,Resale
424,3,Apartment,Lodha Aqua,1665,199.0,Outskirts,Ready to move,Resale
425,2,Apartment,Man Opus,1050,90.0,Outskirts,Ready to move,Resale
426,1,Apartment,Lodha Mira Road Project 1,756,77.0,Outskirts,Ready to move,Resale
427,1,Apartment,Lodha Mira Road Project 1,785,76.0,Outskirts,Ready to move,Resale
429,1,Apartment,Adhiraj Gardens,600,30.0,Navi Mumbai & Beyond,Ready to move,Resale
433,2,Apartment,Lodha Aqua,810,118.0,Outskirts,Ready to move,Resale
434,3,Apartment,Lodha Aqua,1200,185.0,Outskirts,Ready to move,Resale
435,2,Apartment,Man Opus,856,79.0,Outskirts,Ready to move,Resale
436,2,Apartment,Man Opus,856,80.0,Outskirts,Ready to move,Resale
437,1,Apartment,DB Ozone,629,55.0,Outskirts,Ready to move,Resale
438,1,Apartment,DB Ozone,620,56.0,Outskirts,Ready to move,Resale
439,2,Apartment,DB Ozone,850,78.0,Outskirts,Ready to move,Resale
440,2,Apartment,DB Ozone,850,79.0,Outskirts,Ready to move,Resale
441,2,Apartment,Lodha Aqua,1350,215.0,Outskirts,Ready to move,Resale
442,2,Apartment,Man Opus,1070,95.0,Outskirts,Ready to move,Resale
443,2,Apartment,Lodha Mira Road Project 1,789,98.0,Outskirts,Ready to move,Resale
444,1,Apartment,Man Opus,659,59.0,Outskirts,Ready to move,Resale
447,1,Apartment,Man Opus,656,61.0,Outskirts,Ready to move,Resale
448,2,Apartment,Man Opus,850,78.0,Outskirts,Ready to move,Resale
449,2,Apartment,Lodha Aqua,825,110.00000000000001,Outskirts,Ready to move,Resale
456,2,Apartment,Sheth Auris Serenity Tower 2,1233,275.0,Western Suburbs,Ready to move,Resale
458,2,Apartment,Reputed Builder Nutan Gangotri,430,125.0,Central Mumbai,Ready to move,Resale
459,2,Apartment,Proviso Heights,1070,81.0,Navi Mumbai & Beyond,Ready to move,Resale
461,1,Apartment,Munish Glorious,535,27.21,Navi Mumbai & Beyond,Ready to move,Resale
462,3,Apartment,Reputed Builder AVANTI APARTMENT,1180,475.0,Central Mumbai,Ready to move,Resale
463,2,Apartment,BREDCO Hill View Park,1090,180.0,Western Suburbs,Ready to move,Resale
464,2,Apartment,Lodha Mira Road Project 1,850,114.99999999999999,Outskirts,Ready to move,Resale
467,3,Apartment,Konark Alpha Residency,1525,325.0,Western Suburbs,Ready to move,Resale
468,2,Apartment,Reputed Builder Bharti Apartment,965,85.0,Western Suburbs,Ready to move,Resale
